,geoid_county,rise,U7B001_isolated
0,01003,0,0
1,01003,1,686
2,01003,2,1970
3,01003,3,2619
4,01003,4,4367
5,01003,5,6525
6,01003,6,9388
7,01003,7,13019
8,01003,8,14939
9,01003,9,17992
10,01003,10,19443
11,01025,0,0
12,01025,1,0
13,01025,2,0
14,01025,3,0
15,01025,4,0
16,01025,5,0
17,01025,6,0
18,01025,7,0
19,01025,8,0
20,01025,9,0
21,01025,10,0
22,01097,0,0
23,01097,1,418
24,01097,2,2096
25,01097,3,5657
26,01097,4,7864
27,01097,5,9427
28,01097,6,12579
29,01097,7,16287
30,01097,8,18844
31,01097,9,21066
32,01097,10,23518
33,01099,0,0
34,01099,1,0
35,01099,2,0
36,01099,3,0
37,01099,4,0
38,01099,5,0
39,01099,6,0
40,01099,7,0
41,01099,8,0
42,01099,9,0
43,01099,10,0
44,01129,0,0
45,01129,1,0
46,01129,2,0
47,01129,3,0
48,01129,4,0
49,01129,5,0
50,01129,6,0
51,01129,7,0
52,01129,8,0
53,01129,9,0
54,01129,10,0
55,06001,0,0
56,06001,1,3270
57,06001,2,22536
58,06001,3,38480
59,06001,4,60387
60,06001,5,83867
61,06001,6,100680
62,06001,7,119604
63,06001,8,142605
64,06001,9,163070
65,06001,10,174087
66,06013,0,0
67,06013,1,195
68,06013,2,439
69,06013,3,1489
70,06013,4,3451
71,06013,5,6419
72,06013,6,13159
73,06013,7,14991
74,06013,8,17274
75,06013,9,20161
76,06013,10,23615
77,06015,0,0
78,06015,1,9
79,06015,2,9
80,06015,3,9
81,06015,4,9
82,06015,5,54
83,06015,6,117
84,06015,7,192
85,06015,8,239
86,06015,9,699
87,06015,10,716
88,06023,0,0
89,06023,1,644
90,06023,2,3415
91,06023,3,4038
92,06023,4,5880
93,06023,5,6361
94,06023,6,7224
95,06023,7,9085
96,06023,8,9789
97,06023,9,10621
98,06023,10,11015
99,06037,0,0
100,06037,1,3223
101,06037,2,4127
102,06037,3,8839
103,06037,4,8515
104,06037,5,15324
105,06037,6,21545
106,06037,7,28034
107,06037,8,33494
108,06037,9,44911
109,06037,10,56982
110,06041,0,0
111,06041,1,21129
112,06041,2,27573
113,06041,3,33513
114,06041,4,36864
115,06041,5,46965
116,06041,6,54783
117,06041,7,57213
118,06041,8,62066
119,06041,9,65962
120,06041,10,71465
121,06045,0,0
122,06045,1,61
123,06045,2,61
124,06045,3,63
125,06045,4,70
126,06045,5,157
127,06045,6,220
128,06045,7,316
129,06045,8,266
130,06045,9,270
131,06045,10,375
132,06053,0,0
133,06053,1,68
134,06053,2,135
135,06053,3,222
136,06053,4,387
137,06053,5,654
138,06053,6,750
139,06053,7,1852
140,06053,8,2341
141,06053,9,2950
142,06053,10,4302
143,06055,0,0
144,06055,1,337
145,06055,2,342
146,06055,3,357
147,06055,4,356
148,06055,5,432
149,06055,6,351
150,06055,7,2469
151,06055,8,3185
152,06055,9,5636
153,06055,10,6366
154,06059,0,0
155,06059,1,24768
156,06059,2,37400
157,06059,3,54728
158,06059,4,72769
159,06059,5,83073
160,06059,6,88401
161,06059,7,92388
162,06059,8,99507
163,06059,9,108643
164,06059,10,115644
165,06067,0,0
166,06067,1,0
167,06067,2,0
168,06067,3,0
169,06067,4,0
170,06067,5,0
171,06067,6,0
172,06067,7,0
173,06067,8,0
174,06067,9,0
175,06067,10,0
176,06073,0,0
177,06073,1,619
178,06073,2,4765
179,06073,3,5874
180,06073,4,10960
181,06073,5,13996
182,06073,6,17902
183,06073,7,22325
184,06073,8,26426
185,06073,9,31043
186,06073,10,40258
187,06075,0,0
188,06075,1,56
189,06075,2,1084
190,06075,3,4946
191,06075,4,10244
192,06075,5,19672
193,06075,6,23016
194,06075,7,24739
195,06075,8,27305
196,06075,9,29611
197,06075,10,33964
198,06079,0,0
199,06079,1,0
200,06079,2,0
201,06079,3,53
202,06079,4,126
203,06079,5,296
204,06079,6,497
205,06079,7,926
206,06079,8,1053
207,06079,9,1312
208,06079,10,2223
209,06081,0,0
210,06081,1,9973
211,06081,2,16982
212,06081,3,25162
213,06081,4,30791
214,06081,5,110363
215,06081,6,114977
216,06081,7,120842
217,06081,8,125780
218,06081,9,134461
219,06081,10,140777
220,06083,0,0
221,06083,1,150
222,06083,2,150
223,06083,3,213
224,06083,4,900
225,06083,5,2426
226,06083,6,3028
227,06083,7,3984
228,06083,8,6035
229,06083,9,6908
230,06083,10,8402
231,06085,0,0
232,06085,1,19127
233,06085,2,21255
234,06085,3,23901
235,06085,4,32527
236,06085,5,43230
237,06085,6,52685
238,06085,7,60758
239,06085,8,71208
240,06085,9,78715
241,06085,10,80815
242,06087,0,0
243,06087,1,0
244,06087,2,55
245,06087,3,821
246,06087,4,1448
247,06087,5,2014
248,06087,6,2649
249,06087,7,4428
250,06087,8,5994
251,06087,9,6600
252,06087,10,8538
253,06095,0,0
254,06095,1,2339
255,06095,2,3913
256,06095,3,6469
257,06095,4,7394
258,06095,5,12721
259,06095,6,18922
260,06095,7,20463
261,06095,8,23365
262,06095,9,25748
263,06095,10,27260
264,06097,0,0
265,06097,1,74
266,06097,2,252
267,06097,3,337
268,06097,4,504
269,06097,5,2367
270,06097,6,3598
271,06097,7,3610
272,06097,8,4480
273,06097,9,6291
274,06097,10,7517
275,06111,0,0
276,06111,1,789
277,06111,2,1450
278,06111,3,3775
279,06111,4,4949
280,06111,5,6963
281,06111,6,8735
282,06111,7,13102
283,06111,8,19441
284,06111,9,23343
285,06111,10,25349
286,09001,0,0
287,09001,1,2651
288,09001,2,6537
289,09001,3,12057
290,09001,4,26447
291,09001,5,35215
292,09001,6,40962
293,09001,7,44556
294,09001,8,47267
295,09001,9,51439
296,09001,10,55957
297,09003,0,0
298,09003,1,0
299,09003,2,9
300,09003,3,9
301,09003,4,9
302,09003,5,9
303,09003,6,9
304,09003,7,9
305,09003,8,9
306,09003,9,9
307,09003,10,37
308,09007,0,0
309,09007,1,540
310,09007,2,801
311,09007,3,1583
312,09007,4,2739
313,09007,5,4152
314,09007,6,7242
315,09007,7,8850
316,09007,8,9885
317,09007,9,10762
318,09007,10,12488
319,09009,0,0
320,09009,1,1118
321,09009,2,2704
322,09009,3,11126
323,09009,4,13688
324,09009,5,17648
325,09009,6,20454
326,09009,7,26631
327,09009,8,30388
328,09009,9,34464
329,09009,10,36540
330,09011,0,0
331,09011,1,165
332,09011,2,1220
333,09011,3,2000
334,09011,4,3881
335,09011,5,6850
336,09011,6,9199
337,09011,7,11524
338,09011,8,13181
339,09011,9,13890
340,09011,10,15478
341,10001,0,0
342,10001,1,594
343,10001,2,938
344,10001,3,1265
345,10001,4,1528
346,10001,5,1809
347,10001,6,2936
348,10001,7,4699
349,10001,8,5051
350,10001,9,6562
351,10001,10,8833
352,10003,0,0
353,10003,1,464
354,10003,2,1137
355,10003,3,1969
356,10003,4,3713
357,10003,5,4715
358,10003,6,7819
359,10003,7,10323
360,10003,8,13668
361,10003,9,14976
362,10003,10,16081
363,10005,0,0
364,10005,1,1173
365,10005,2,4695
366,10005,3,9972
367,10005,4,16639
368,10005,5,23548
369,10005,6,27990
370,10005,7,31855
371,10005,8,37507
372,10005,9,41465
373,10005,10,46404
374,11001,0,0
375,11001,1,1036
376,11001,2,1036
377,11001,3,1036
378,11001,4,1040
379,11001,5,1040
380,11001,6,1040
381,11001,7,1348
382,11001,8,3064
383,11001,9,3225
384,11001,10,4067
385,12003,0,0
386,12003,1,0
387,12003,2,0
388,12003,3,0
389,12003,4,0
390,12003,5,0
391,12003,6,0
392,12003,7,0
393,12003,8,0
394,12003,9,0
395,12003,10,0
396,12005,0,0
397,12005,1,300
398,12005,2,866
399,12005,3,3121
400,12005,4,6524
401,12005,5,9028
402,12005,6,12782
403,12005,7,16037
404,12005,8,21799
405,12005,9,27254
406,12005,10,33312
407,12009,0,0
408,12009,1,393
409,12009,2,5148
410,12009,3,9513
411,12009,4,28037
412,12009,5,46992
413,12009,6,66548
414,12009,7,82361
415,12009,8,92480
416,12009,9,99756
417,12009,10,109518
418,12011,0,0
419,12011,1,7137
420,12011,2,23529
421,12011,3,83096
422,12011,4,216799
423,12011,5,560852
424,12011,6,977057
425,12011,7,1165434
426,12011,8,1283549
427,12011,9,1454314
428,12011,10,1587662
429,12013,0,0
430,12013,1,0
431,12013,2,0
432,12013,3,0
433,12013,4,0
434,12013,5,0
435,12013,6,0
436,12013,7,0
437,12013,8,0
438,12013,9,0
439,12013,10,0
440,12015,0,0
441,12015,1,36
442,12015,2,5024
443,12015,3,8813
444,12015,4,36363
445,12015,5,55045
446,12015,6,66428
447,12015,7,78426
448,12015,8,86892
449,12015,9,96616
450,12015,10,111895
451,12017,0,0
452,12017,1,3077
453,12017,2,4711
454,12017,3,6157
455,12017,4,8096
456,12017,5,11349
457,12017,6,15180
458,12017,7,17372
459,12017,8,19764
460,12017,9,21820
461,12017,10,25516
462,12019,0,0
463,12019,1,281
464,12019,2,847
465,12019,3,1586
466,12019,4,5828
467,12019,5,7269
468,12019,6,10629
469,12019,7,16988
470,12019,8,20579
471,12019,9,23558
472,12019,10,27902
473,12021,0,0
474,12021,1,2426
475,12021,2,3964
476,12021,3,15913
477,12021,4,52826
478,12021,5,73351
479,12021,6,84179
480,12021,7,105586
481,12021,8,117913
482,12021,9,148774
483,12021,10,179160
484,12027,0,0
485,12027,1,0
486,12027,2,0
487,12027,3,0
488,12027,4,0
489,12027,5,0
490,12027,6,0
491,12027,7,0
492,12027,8,0
493,12027,9,0
494,12027,10,0
495,12029,0,0
496,12029,1,374
497,12029,2,406
498,12029,3,482
499,12029,4,713
500,12029,5,1007
501,12029,6,997
502,12029,7,1001
503,12029,8,1132
504,12029,9,1408
505,12029,10,1468
506,12031,0,0
507,12031,1,1195
508,12031,2,5632
509,12031,3,15417
510,12031,4,24711
511,12031,5,43494
512,12031,6,71341
513,12031,7,77362
514,12031,8,99814
515,12031,9,119449
516,12031,10,146565
517,12033,0,0
518,12033,1,259
519,12033,2,1090
520,12033,3,1434
521,12033,4,3125
522,12033,5,6990
523,12033,6,7624
524,12033,7,9968
525,12033,8,11265
526,12033,9,13104
527,12033,10,15008
528,12035,0,0
529,12035,1,391
530,12035,2,579
531,12035,3,1341
532,12035,4,3873
533,12035,5,4646
534,12035,6,9566
535,12035,7,14501
536,12035,8,18256
537,12035,9,18380
538,12035,10,20080
539,12037,0,0
540,12037,1,11
541,12037,2,58
542,12037,3,523
543,12037,4,977
544,12037,5,1255
545,12037,6,2754
546,12037,7,4437
547,12037,8,5184
548,12037,9,5570
549,12037,10,5845
550,12041,0,0
551,12041,1,106
