rise,U7B001,U7B003,U7B004,U7C002,U7G001,U7B001total,U7B003total,U7B004total,U7C002total,U7G001total,U7B001_isolated,U7B003_isolated,U7B004_isolated,U7C002_isolated,U7G001_isolated
0,123918851,63899247,17456596,29287525,51215453,123918851,63899247,17456596,29287525,51215453,0,0,0,0,0
1,123539040,63643295,17428634,29228451,51015742,123918851,63899247,17456596,29287525,51215453,379811,255952,27962,59074,199711
2,123052255,63305301,17394975,29148772,50713906,123918851,63899247,17456596,29287525,51215453,866596,593946,61621,138753,501547
3,122119696,62680865,17310384,28984295,50130429,123918851,63899247,17456596,29287525,51215453,1799155,1218382,146212,303230,1085024
4,120821436,61839054,17171536,28755509,49345240,123918851,63899247,17456596,29287525,51215453,3097415,2060193,285060,532016,1870213
5,118939933,60818751,16925720,28234947,48403489,123918851,63899247,17456596,29287525,51215453,4978918,3080496,530876,1052578,2811964
6,116850801,59813352,16623026,27473896,47438886,123918851,63899247,17456596,29287525,51215453,7068050,4085895,833570,1813629,3776567
7,115232779,59006404,16377003,26938400,46702404,123918851,63899247,17456596,29287525,51215453,8686072,4892843,1079593,2349125,4513049
8,113856553,58279630,16129397,26603858,46066455,123896036,63879876,17455421,29286722,51206408,10039483,5600246,1326024,2682864,5139953
9,112558054,57590930,15879102,26315448,45468472,123896036,63879876,17455421,29286722,51206408,11337982,6288946,1576319,2971274,5737936
10,111252757,56882799,15628230,26029934,44863331,123896036,63879876,17455421,29286722,51206408,12643279,6997077,1827191,3256788,6343077
